Time,level,current,voltage,power,maxvolt,minvolt,temp
﻿2022-01-25 12:40:14,63,0.45,25.62,11.01,25.67,24.66,25
﻿2022-01-25 12:40:20,63,0.45,25.62,11.01,25.67,24.66,25
﻿2022-01-25 12:40:26,63,0.45,25.64,11.28,25.67,24.66,25
﻿2022-01-25 12:40:32,63,0.46,25.63,11.27,25.67,24.66,25
﻿2022-01-25 12:40:38,63,0.47,25.63,11.53,25.67,24.66,25
﻿2022-01-25 12:40:44,63,0.49,25.63,11.78,25.67,24.66,25
﻿2022-01-25 12:40:50,63,0.46,25.65,11.79,25.67,24.66,25
﻿2022-01-25 12:40:56,63,0.5,25.63,12.3,25.67,24.66,25
﻿2022-01-25 12:41:02,63,0.48,25.64,12.3,25.67,24.66,25
﻿2022-01-25 12:41:08,63,0.49,25.64,11.79,25.67,24.66,25
﻿2022-01-25 12:41:14,63,0.49,25.64,12.05,25.67,24.66,25
﻿2022-01-25 12:41:20,63,0.47,25.66,12.06,25.67,24.66,25
﻿2022-01-25 12:41:26,64,0.49,25.66,12.57,25.67,24.66,25
﻿2022-01-25 12:41:32,63,0.55,25.65,13.08,25.67,24.66,25
﻿2022-01-25 12:41:38,63,0.51,25.65,14.1,25.67,24.66,25
﻿2022-01-25 12:41:44,63,0.55,25.65,13.59,25.67,24.66,25
﻿2022-01-25 12:41:50,63,0.53,25.65,13.85,25.67,24.66,25
﻿2022-01-25 12:41:56,64,0.55,25.65,13.85,25.68,24.66,25
﻿2022-01-25 12:42:02,64,0.55,25.66,14.11,25.68,24.66,25
﻿2022-01-25 12:42:08,64,0.58,25.66,14.88,25.68,24.66,25
﻿2022-01-25 12:42:14,64,0.58,25.68,14.63,25.69,24.66,25
﻿2022-01-25 12:42:20,64,0.6,25.66,14.62,25.69,24.66,25
﻿2022-01-25 12:42:26,64,0.57,25.67,15.65,25.69,24.66,25
﻿2022-01-25 12:42:32,64,0.61,25.67,15.65,25.69,24.66,25
﻿2022-01-25 12:42:38,64,0.61,25.67,15.65,25.7,24.66,25
﻿2022-01-25 12:42:44,64,0.62,25.69,15.92,25.7,24.66,25
﻿2022-01-25 12:42:50,64,0.62,25.69,16.69,25.7,24.66,25
﻿2022-01-25 12:42:56,64,0.64,25.69,16.18,25.7,24.66,25
﻿2022-01-25 12:43:02,64,0.64,25.69,16.44,25.7,24.66,25
﻿2022-01-25 12:43:08,64,0.65,25.69,16.44,25.71,24.66,25
﻿2022-01-25 12:43:14,64,0.64,25.69,16.44,25.71,24.66,25
﻿2022-01-25 12:43:20,65,0.66,25.71,16.45,25.71,24.66,25
﻿2022-01-25 12:43:26,64,0.66,25.71,17.22,25.72,24.66,25
﻿2022-01-25 12:43:32,65,0.64,25.69,16.69,25.72,24.66,25
﻿2022-01-25 12:43:38,65,0.66,25.7,16.96,25.72,24.66,25
﻿2022-01-25 12:43:44,64,0.66,25.66,17.19,25.72,24.66,25
﻿2022-01-25 12:43:51,63,0.69,25.66,16.93,25.72,24.66,25
﻿2022-01-25 12:43:56,64,0.67,25.66,17.7,25.72,24.66,25
﻿2022-01-25 12:44:02,64,0.7,25.69,17.72,25.72,24.66,25
﻿2022-01-25 12:44:08,64,0.68,25.67,17.96,25.72,24.66,25
﻿2022-01-25 12:44:14,64,0.68,25.69,17.98,25.72,24.66,25
﻿2022-01-25 12:44:21,65,0.69,25.71,17.99,25.72,24.66,25
﻿2022-01-25 12:44:27,64,0.7,25.69,17.98,25.72,24.66,25
﻿2022-01-25 12:44:33,65,0.71,25.71,18.25,25.72,24.66,25
﻿2022-01-25 12:44:39,64,0.73,25.7,17.47,25.72,24.66,25
﻿2022-01-25 12:44:45,64,0.72,25.7,17.47,25.73,24.66,25
﻿2022-01-25 12:44:51,65,0.71,25.71,18.51,25.73,24.66,25
﻿2022-01-25 12:44:57,65,0.73,25.71,18.51,25.73,24.66,25
﻿2022-01-25 12:45:03,65,0.72,25.74,18.79,25.74,24.66,25
﻿2022-01-25 12:45:09,65,0.74,25.72,18.51,25.74,24.66,25
﻿2022-01-25 12:45:15,61,0.73,25.66,18.98,25.74,24.66,25
﻿2022-01-25 12:45:21,64,0.75,25.7,19.27,25.74,24.66,25
﻿2022-01-25 12:45:27,64,0.77,25.7,19.01,25.74,24.66,25
﻿2022-01-25 12:45:33,65,0.77,25.72,19.8,25.74,24.66,25
﻿2022-01-25 12:45:39,65,0.77,25.7,20.04,25.74,24.66,25
﻿2022-01-25 12:45:45,65,0.77,25.72,20.06,25.74,24.66,25
﻿2022-01-25 12:45:51,65,0.77,25.72,19.8,25.74,24.66,25
﻿2022-01-25 12:45:57,65,0.79,25.74,20.33,25.74,24.66,25
﻿2022-01-25 12:46:03,65,0.78,25.73,20.32,25.75,24.66,25
﻿2022-01-25 12:46:09,65,0.81,25.73,20.58,25.75,24.66,25
﻿2022-01-25 12:46:15,65,0.81,25.75,21.11,25.75,24.66,25
﻿2022-01-25 12:46:21,65,0.81,25.75,21.63,25.76,24.66,25
﻿2022-01-25 12:46:27,65,0.83,25.75,21.63,25.76,24.66,25
﻿2022-01-25 12:46:33,65,0.84,25.75,22.14,25.77,24.66,25
﻿2022-01-25 12:46:39,66,0.85,25.75,21.88,25.78,24.66,25
﻿2022-01-25 12:46:45,66,0.87,25.75,22.66,25.78,24.66,25
﻿2022-01-25 12:46:51,66,0.87,25.75,22.91,25.78,24.66,25
﻿2022-01-25 12:46:57,66,0.86,25.76,22.66,25.78,24.66,25
﻿2022-01-25 12:47:03,65,0.88,25.76,23.18,25.78,24.66,25
﻿2022-01-25 12:47:09,66,0.88,25.77,22.67,25.79,24.66,25
﻿2022-01-25 12:47:15,66,0.9,25.79,22.95,25.79,24.66,25
﻿2022-01-25 12:47:21,66,0.92,25.79,23.21,25.79,24.66,25
﻿2022-01-25 12:47:27,66,0.9,25.78,22.94,25.8,24.66,25
﻿2022-01-25 12:47:33,66,0.91,25.81,24,25.81,24.66,25
﻿2022-01-25 12:47:39,66,0.92,25.81,24.26,25.81,24.66,25
﻿2022-01-25 12:47:45,66,0.91,25.8,23.47,25.81,24.66,25
﻿2022-01-25 12:47:51,66,0.92,25.8,23.99,25.81,24.66,25
﻿2022-01-25 12:47:57,66,0.91,25.8,23.99,25.82,24.66,25
﻿2022-01-25 12:48:03,66,0.93,25.8,24.25,25.82,24.66,25
﻿2022-01-25 12:48:09,66,0.9,25.8,23.22,25.82,24.66,25
﻿2022-01-25 12:48:15,66,0.92,25.83,23.76,25.83,24.66,25
﻿2022-01-25 12:48:21,66,0.93,25.81,23.22,25.83,24.66,25
﻿2022-01-25 12:48:27,67,0.91,25.81,22.97,25.83,24.66,25
﻿2022-01-25 12:48:33,66,0.91,25.84,23.25,25.84,24.66,25
﻿2022-01-25 12:48:39,66,0.9,25.81,23.48,25.84,24.66,25
﻿2022-01-25 12:48:45,66,0.88,25.81,22.71,25.84,24.66,25
﻿2022-01-25 12:48:51,67,0.85,25.82,22.72,25.84,24.66,25
﻿2022-01-25 12:48:57,67,0.86,25.82,21.43,25.84,24.66,25
﻿2022-01-25 12:49:03,67,0.85,25.82,21.43,25.84,24.66,25
﻿2022-01-25 12:49:09,67,0.83,25.82,21.68,25.85,24.66,25
﻿2022-01-25 12:49:15,67,0.82,25.84,21.96,25.85,24.66,25
﻿2022-01-25 12:49:21,66,0.82,25.8,21.93,25.85,24.66,25
﻿2022-01-25 12:49:27,66,0.81,25.8,20.64,25.85,24.66,25
﻿2022-01-25 12:49:33,67,0.79,25.82,21.94,25.85,24.66,25
﻿2022-01-25 12:49:39,66,0.81,25.83,20.4,25.85,24.66,25
﻿2022-01-25 12:49:45,67,0.82,25.81,20.64,25.85,24.66,25
﻿2022-01-25 12:49:51,66,0.79,25.81,20.13,25.85,24.66,25
﻿2022-01-25 12:49:57,67,0.77,25.81,20.64,25.85,24.66,25
﻿2022-01-25 12:50:03,66,0.8,25.83,20.4,25.85,24.66,25
﻿2022-01-25 12:50:09,67,0.79,25.83,20.14,25.85,24.66,25
﻿2022-01-25 12:50:15,67,0.78,25.83,20.4,25.85,24.66,25
﻿2022-01-25 12:50:21,67,0.79,25.82,20.91,25.85,24.66,25
